NAME,POS,AGE,EXP,"2020-21
TEAM","NEW
TEAM",PPG,RPG,APG,TYPE,NEWS
DeMar DeRozan,G-F,33,13 yrs,,,25.9,5,4.7,ufa,Signs with CHI >
Lauri Markkanen,F-C,25,5 yrs,,,22.8,8.2,2.1,rfa,Sign & trade with CLE >
Carmelo Anthony,F,38,20 yrs,,,22.5,6.2,2.7,ufa,Signs with LAL >
Kelly Oubre Jr.,F-G,27,7 yrs,,,20.8,5.3,1.3,ufa,Signs with CHA >
DeMarcus Cousins,C,32,12 yrs,,,19.6,10.2,3,ufa,
LaMarcus Aldridge,C-F,37,17 yrs,,,19.1,8.1,1.9,ufa,Re-signs with BKN >
Gary Trent Jr.,G-F,23,4 yrs,,,16.9,2,1.4,rfa,Re-signs with TOR >
Spencer Dinwiddie,G,29,8 yrs,,,16.6,3.3,5.3,ufa,Sign & trade with WAS >
Dwight Howard,C-F,37,19 yrs,,,15.7,11.8,1.3,ufa,Signs with LAL >
Kawhi Leonard,F,31,10 yrs,,,15.3,6.2,3.3,ufa,Re-signs with LAC >
Norman Powell,G,29,7 yrs,,,14.8,2.9,1.5,ufa,Re-signs with POR >
Malik Monk,G,24,5 yrs,,,14.2,2.2,4,ufa,Signs with LAL >
Jarrett Allen,C,24,5 yrs,,,14.1,10.2,1.5,rfa,Re-signs with CLE >
Kyle Lowry,G,36,16 yrs,,,14,4.7,5.9,ufa,Sign & trade with MIA >
Lou Williams,G,36,18 yrs,,,13.9,2.2,3.4,ufa,Re-signs with ATL >
Bobby Portis,F,27,7 yrs,,,13.8,10,1.9,ufa,Re-Signs with MIL
Paul Millsap,F,37,17 yrs,,,13.4,7.1,2.2,ufa,Signs with BKN >
Tim Hardaway Jr.,G-F,30,9 yrs,,,13.3,2.7,1.7,ufa,Re-signs with DAL >
Alec Burks,G,31,11 yrs,,,13.3,2.8,1.8,ufa,Re-signs with NY >
Max Strus,G-F,26,3 yrs,,,13.1,3.4,1.9,rfa 4,Re-signs with MIA >
JJ Redick,G,38,16 yrs,,,12.8,2,2,ufa,Redick retires from NBA >
Kemba Walker,G,32,11 yrs,,,12.8,3.2,3.4,ufa,Signs with NY >
Cameron Payne,G,28,7 yrs,,,12.7,2.4,5.3,ufa,Re-signs with PHX >
Hassan Whiteside,C,33,11 yrs,,,12.6,10.8,0.6,ufa,
Moritz Wagner,F-C,25,4 yrs,,,12.5,6.9,2.2,ufa,
Reggie Jackson,G,32,11 yrs,,,12.3,2.6,4,ufa,Re-signs with LAC >
Jeff Teague,G,34,13 yrs,,,12.2,2.4,5.6,ufa,
Chris Paul,G,37,17 yrs,,,12.1,4.8,9.1,ufa,Re-signs with PHX >
John Collins,F-C,25,5 yrs,,,12,7.4,1.3,rfa,Re-signs with ATL >
Bruce Brown,G-F,26,4 yrs,,,11.3,4.4,4.3,rfa,
Enes Freedom,C,30,11 yrs,,,11.2,7.8,0.9,ufa,Signs with BOS >
Caleb Martin,F,27,3 yrs,,,11.1,4.7,1.9,ufa,
Avery Bradley,G,32,13 yrs,,,11,2.8,1.7,ufa,
Doug McDermott,F,30,8 yrs,,,10.6,2.1,1.5,ufa,Traded to SAS >
Trevor Ariza,F,37,18 yrs,,,10.4,4.8,2.1,ufa,Signs with LAL >
Rodney Hood,G-F,30,9 yrs,,,10.4,2.6,1.6,ufa,
Dennis Schroder,G,29,9 yrs,,,10.2,1.8,3.5,ufa,Re-signs with BOS >
Ersan Ilyasova,F,35,14 yrs,,,10.1,5.6,1.1,ufa,
Elfrid Payton,G,28,9 yrs,,,10.1,4,5.7,ufa,Signs with PHX >
Tyler Johnson,G,30,8 yrs,,,9.8,3,2.3,ufa,
Josh Hart,G,27,5 yrs,,,9.7,8.2,3.8,rfa,Re-signs with NOP >
Mike Conley,G,35,15 yrs,,,9.6,2.2,7.5,ufa,Re-signs with UTA >
Georges Niang,F,29,6 yrs,,,9.4,2.2,1.1,ufa,
Dennis Smith Jr.,G,25,5 yrs,,,9.3,3.3,5.7,ufa,
Victor Oladipo,G,30,9 yrs,,,9.1,3,2.7,ufa,
Rondae Hollis-Jefferson,F,27,7 yrs,,,9,5.5,1.9,ufa,
Zach Collins,F-C,25,4 yrs,,,8.9,5.8,2.9,ufa,Signs with SAS >
Mike James,G,32,3 yrs,,,8.9,2.5,3.7,ufa,
