NAME,POS,AGE,EXP,"2021-22
TEAM","NEW
TEAM",PPG,RPG,APG,TYPE,NEWS
Kyrie Irving,G,30,11 yrs,,,26.1,4.8,4.5,ufa 1,Opts in with BKN
Bradley Beal,G,29,10 yrs,,,23.4,3.8,5.3,ufa 1,Re-signs with WAS
Anfernee Simons,G,23,4 yrs,,,22.8,2.9,4.2,rfa,Re-signs with POR
Carmelo Anthony,F,38,20 yrs,,,22.5,6.2,2.7,ufa,
Zach LaVine,G-F,27,8 yrs,,,21.7,4.4,4.3,ufa,Re-signs with CHI
James Harden,G,33,13 yrs,,,21.4,6.3,10.3,ufa 1,Re-signs with PHI
Jalen Brunson,G,26,4 yrs,,,20.4,3.2,6.3,ufa,Signs with NY
DeMarcus Cousins,C,32,12 yrs,,,19.6,10.2,3.0,ufa,
LaMarcus Aldridge,C-F,37,17 yrs,,,19.1,8.1,1.9,ufa,
Isaiah Thomas,G,33,12 yrs,,,17.7,2.4,4.8,ufa,
Deandre Ayton,C,24,4 yrs,,,17.6,9.7,2.0,rfa,Re-signs with PHX
Dwight Howard,C-F,37,19 yrs,,,15.7,11.8,1.3,ufa,
Lonnie Walker IV,G-F,24,4 yrs,,,15.5,2.5,1.5,rfa,Signs with LAL
Russell Westbrook,G,34,14 yrs,,,14.5,6.2,7.6,ufa 1,Opts in with LAL
Jusuf Nurkic,C,28,8 yrs,,,14.4,9.8,2.9,ufa,Re-signs with POR
Collin Sexton,G,23,4 yrs,,,14.3,2.4,3.0,rfa,Receives qualifying offer
Malik Monk,G,24,5 yrs,,,14.2,2.2,4.0,ufa,Signs with SAC
Lou Williams,G,36,18 yrs,,,13.9,2.2,3.4,ufa,
Luguentz Dort,G,23,3 yrs,,,13.9,4.4,2.4,rfa 2,Re-signs with OKC
Bobby Portis,F,27,7 yrs,,,13.8,10.0,1.9,ufa 1,Re-signs with MIL
Miles Bridges,F,24,5 yrs,,,13.4,5.6,2.3,rfa,Gets qualifying offer
Paul Millsap,F,37,17 yrs,,,13.4,7.1,2.2,ufa,
Greg Monroe,F-C,32,11 yrs,,,13.0,8.2,2.1,ufa,
Hassan Whiteside,C,33,11 yrs,,,12.6,10.8,0.6,ufa,
Bol Bol,C-F,23,3 yrs,,,12.1,7.3,1.0,ufa,Re-signs with ORL
Nic Claxton,C,23,3 yrs,,,11.6,8.6,1.3,rfa,Re-signs with BKN
Jaylen Nowell,G,23,3 yrs,,,11.5,2.8,2.1,rfa 2,Team option exercised
Bruce Brown,G-F,26,4 yrs,,,11.3,4.4,4.3,ufa,Signs with DEN
Josh Jackson,G-F,25,6 yrs,,,11.3,4.0,1.8,ufa,
Shake Milton,G-F,26,4 yrs,,,11.2,3.3,3.5,ufa 2,Team picks up option
Enes Freedom,C,30,11 yrs,,,11.2,7.8,0.9,ufa,
Caleb Martin,F,27,3 yrs,,,11.1,4.7,1.9,rfa,Re-signs with MIA
Marvin Bagley III,F,23,4 yrs,,,11.0,6.1,0.6,rfa,Re-signs with DET
Avery Bradley,G,32,13 yrs,,,11.0,2.8,1.7,ufa,
Jalen McDaniels,F-C,24,3 yrs,,,10.8,4.7,2.2,rfa 2,Team picks up option
Tyus Jones,G,26,7 yrs,,,10.7,2.3,4.6,ufa,Re-signs with MEM
Chris Boucher,F-C,29,5 yrs,,,10.7,6.2,0.5,ufa,Re-signs with TOR
Thomas Bryant,C-F,25,5 yrs,,,10.6,4.9,0.9,ufa,Signs with LAL
Derrick Favors,F,31,13 yrs,,,10.6,7.1,1.1,ufa 1,Opts in with OKC
Jalen Smith,F-C,22,2 yrs,,,10.4,6.4,1.1,ufa,Re-signs with IND
Trevor Ariza,F,37,18 yrs,,,10.4,4.8,2.1,ufa,
Rodney Hood,G-F,30,9 yrs,,,10.4,2.6,1.6,ufa,
Gary Harris,G,28,8 yrs,,,10.3,2.7,2.0,ufa,Signs contract extension
Michael Carter-Williams,G,31,9 yrs,,,10.3,4.4,4.4,ufa,
Dennis Schroder,G,29,9 yrs,,,10.2,1.8,3.5,ufa,Schroder returns to Laker
Jeremy Lamb,G-F,30,11 yrs,,,10.1,3.6,1.6,ufa,
Elfrid Payton,G,28,9 yrs,,,10.1,4.0,5.7,ufa,
Ivica Zubac,C,25,6 yrs,,,9.9,10.7,1.1,ufa 2,Re-signs with LAC
Naz Reid,C-F,23,3 yrs,,,9.9,4.3,0.9,rfa 2,Team option exercised
