year_month,view_count,team,market_size,total_nba_views,total_nba_view_percentage,season
2013-03-01,1905039.0,MEM,small,145906265.0,0.013056594930999022,2012-2013
2013-03-01,34660.0,NO,small,145906265.0,0.00023754977210882616,2012-2013
2013-03-01,234750.0,OKC,small,145906265.0,0.0016089096653937375,2012-2013
2013-03-01,9125107.0,MIL,small,145906265.0,0.06254088541023238,2012-2013
2013-03-01,8583123.0,SA,small,145906265.0,0.058826281380035324,2012-2013
2013-03-01,1343477.0,UTAH,small,145906265.0,0.00920780886276542,2012-2013
2013-03-01,7260294.0,IND,small,145906265.0,0.04975998803067161,2012-2013
2013-03-01,2676404.0,CHA,small,145906265.0,0.01834331102917342,2012-2013
2013-03-01,4762661.0,POR,small,145906265.0,0.03264192253841876,2012-2013
2013-03-01,6923258.0,SAC,small,145906265.0,0.04745003924266035,2012-2013
2013-03-01,12553137.0,MIN,medium,145906265.0,0.08603562705138124,2012-2013
2013-03-01,7237444.0,DET,medium,145906265.0,0.049603380636191324,2012-2013
2013-03-01,10177725.0,DEN,medium,145906265.0,0.06975522949614262,2012-2013
2013-03-01,3145407.0,ORL,medium,145906265.0,0.02155772406345951,2012-2013
2013-03-01,30964067.0,MIA,medium,145906265.0,0.21221889957912363,2012-2013
2013-03-01,2003130.0,CLE,medium,145906265.0,0.013728882717955943,2012-2013
2013-03-01,16620489.0,LAL,big,145906265.0,0.11391209966206729,2012-2013
2013-03-01,7776160.0,NY,big,145906265.0,0.05329558672480582,2012-2013
2013-03-01,15516899.0,CHI,big,145906265.0,0.10634840800016367,2012-2013
2013-03-01,2258755.0,PHI,big,145906265.0,0.015480863690123244,2012-2013
2013-03-01,3057916.0,DAL,big,145906265.0,0.020958085658624736,2012-2013
2013-03-01,2365630.0,ATL,big,145906265.0,0.016213354512227423,2012-2013
2013-03-01,7169644.0,BOS,big,145906265.0,0.04913869873922137,2012-2013
2013-03-01,2670488.0,GSW,big,145906265.0,0.018302764449490912,2012-2013
2013-03-01,14612042.0,TOR,big,145906265.0,0.10014677573989027,2012-2013
2013-03-01,1153551.0,HOU,big,145906265.0,0.007906110131734234,2012-2013
2013-03-01,2686222.0,WSH,big,145906265.0,0.018410600805935234,2012-2013
2013-03-01,2541829.0,PHX,big,145906265.0,0.01742097229341043,2012-2013
2011-04-01,488916.0,MEM,small,47792805.0,0.010229908037412744,2010-2011
2011-04-01,1008978.0,OKC,small,47792805.0,0.02111150412703335,2010-2011
2011-04-01,47648.0,MIL,small,47792805.0,0.0009969701506325063,2010-2011
2011-04-01,550164.0,SA,small,47792805.0,0.011511439849575684,2010-2011
