,year_month,view_count,team,market_size,total_nba_views,total_nba_view_percentage,win_percentage,avg_attendace,avg_occupancy_rate
0,2016-04-01,43943996.0,LA,big,340539239.0,0.12904238621382483,0.2077922077922078,18997.0,100.0
1,2016-04-01,114950.0,NY,big,340539239.0,0.00033755287742332684,0.12658227848101267,19812.0,100.0
2,2016-04-01,3870363.0,CH,big,340539239.0,0.011365395105026354,0.4155844155844156,22053.333333333332,95.25
3,2016-04-01,743567.0,PH,big,340539239.0,0.0021834987421229307,0.11842105263157895,15633.5,75.17
4,2016-04-01,925314.0,DS,big,340539239.0,0.0027172022898659266,0.5263157894736842,20266.2,98.78
5,2016-04-01,652823.0,AT,big,340539239.0,0.0019170272474826316,0.7037037037037037,18380.428571428572,94.61
6,2016-04-01,1573405.0,BO,big,340539239.0,0.004620333928684207,0.8947368421052632,18624.0,100.0
7,2016-04-01,21988502.0,GSW,big,340539239.0,0.06456965741912638,0.525,19596.0,100.0
8,2016-04-01,304669.0,ME,small,340539239.0,0.0008946663559085478,0.4342105263157895,17805.0,98.27
9,2016-04-01,99903.0,NO,small,340539239.0,0.00029336707362525113,0.3815789473684211,17468.666666666668,93.88
10,2016-04-01,1059218.0,OKC,small,340539239.0,0.0031104139514448142,0.6883116883116883,18203.0,100.0
11,2016-04-01,195457.0,MB,small,340539239.0,0.0005739632254243688,0.4050632911392405,15916.5,85.04
12,2016-04-01,3097176.0,SA,small,340539239.0,0.009094916665389035,0.5,18515.833333333332,98.36
13,2016-04-01,4450967.0,UT,small,340539239.0,0.013070349875304678,0.5064935064935064,19778.5,99.33
14,2016-04-01,450567.0,IN,small,340539239.0,0.0013230986282905272,0.11688311688311688,18121.833333333332,99.76
15,2016-04-01,1214980.0,PT,small,340539239.0,0.003567812048819431,0.5256410256410257,19638.0,97.7
16,2018-02-01,94935579.0,LA,big,876186231.0,0.10835091404215413,0.392156862745098,18997.0,100.0
17,2018-02-01,6027819.0,NY,big,876186231.0,0.00687960936468996,0.4339622641509434,19737.8,99.63
18,2018-02-01,6023823.0,CH,big,876186231.0,0.006875048690419332,0.5098039215686274,20719.8,90.15
